normalized
پاک فوج نے بھارتی سہنا کو سرحدی خلاف ورزی پر منہ توڑ جواب دیکر ثابت کر دیا پاک فوج دنیا کی بہترین فوج ہے
پی ٹی ایم نے ان دو قوم کو بچایا   فوج تماشا دیکھ رہاہیں تاکہ  قبائل ایک دوسرے کا دشمن بن جائے اس لے فوج اور ایف سی  اور مقامی صرف نام کا پولیس  ان قبائلیوں کا مسئلہ حل کرنے کے لئے نہیں گیا
یہ ہیں وہ صاحب جن کی معمولی سی تنخواہ میں دو بچے انگلینڈ میں اور ایک بچی جرمنی میں تعلیم حاصل کر رہی ہے اور ہماری تنخواہ میں تین بچے الائیڈ سکول میں نہیں پڑھ سکتے
جو لوگ آج پاک فوج پر بھونکتے ہیں ان کے لئے یہ ایک نصیحت ہے یاد رکھو اگر پاک فوج نہ ہو تو جلد ہی تمہارے گھروں میں کفار اور مشرکین کی فوج اور خوارج دہشت گرد اسی طرح تمہیں اور تمہاری عورتوں کو رسوا کریں گے اپنے ملک کے شیروں پر حملے کرو گے تو دشمن کے کتے تمہیں کھا جائیں گے
نکتہ چینی کہتے ھیں کہ کسی سلطنت کے بادشاہ نے جنگ میں شریک ھونے والے گھوڑوں کے اصطبل کے ساتھ ہی گدھے بھی رکھے ہوۓ تھے گدھے ہر روز گھوڑوں کا بچا ہوا کھانا کھاتے اور گھوڑوں کو ویہلا اور نکما کہتے اندر ہی اندر کڑھتے رہتے کہ گھوڑوں کیلیے اتنا اچھا کھانا اور ہم
محسن داوڑ الجھن کا شکار  سیاست یا پی ٹی ایم میں کسی ایک کا انتخاب کرنا ہوگاتحریرعبداللہ جان صابر قومی اسمبلی کے رکن محسن داوڑ نے آج ٹوئیٹر پیغام میں کہا کہ وہ پی ٹی ایم کور کمیٹی کے ممبر ہیں اور پی ٹی ایم کوئی سیاسی جماعت نہیں ہے وہ کبھی سیاست نہیں کرتے ہیںمحسن دا
بدل رہا پاکستان عمران خان کا پاکستان میاں مفرور نواز شریف نے کابل کا دورہ ہزار ڈالر میں کیا مسٹر پرسینٹ آصف علی زرداری نےکابل دورہ ہزار ڈالرز میں کیا راجہ پرویز اشرف نے ہزار ڈالر میں کیااور ہمارے کپتان عمران خان نے یہی دورہ صرف ہزار ڈالر میں کیاشکریہ کپتان
دیکھئے صدر مملکت ڈاکٹر عارف علوی کاشوکت پراچہ کے ساتھ خصوصی انٹرویو آج رات بجے آج نیوز پر
میرے بیٹے کے سینے میں بائیس گولیاں لگی لیکن اس کی ٹانگیں نہیں کانپی براہ مہربانی ہماری فوج کے خلاف بات نہ کیا کریں ہم سے پوچھیں ہم پر کیا گزرتی ہے فوجی شہید کے باپ کا پیغام
𝕊𝕙𝕒𝕙𝕚𝕕 ℂ𝕙𝕒𝕦𝕕𝕙𝕒𝕣𝕪  تم جوتھےنہ تھاقریب کوئ درد میرےمجھ کوپہلے اکیلے رہناسیکھائو بابا
میرے بیٹے کے سینے میں بائیس گولیاں لگی لیکن اس کی ٹانگیں نہیں کانپی براہ مہربانی ہماری فوج کے خلاف بات نہ کیا کریں ہم سے پوچھیں ہم پر کیا گزرتی ہے فوجی شہید کے باپ کا پیغام
جنرل قمر جاوید باجوہ کے دور میں غیرملکی سرمایہ کاروں کی آمد اور کھیلوں کی سرگرمیاں بھی شروع لیکنلاہور کالم شوکت ورک جنرل قمر جاوید باجوہ نے نومبر ءمیں جب پاک فوج کے سربراہ کا منصب اعلی سنبھالا تو اس وقت وطن عزیز متعدد بحرانوں کا شکار تھا دہشت
محبت کا جھانسہ دے کر کسی کی زندگی تباہ نہ کریں
کیا کبھی امریکی وزیراعظم یا چاینا کا وزیر اعظم یا انڈیا کا وزیر اعظم جس ملک کابھی وزیر اعظم ہو کیا اپ نے اسے کسی ملک جانے کے وقت اس کے ساتھ کسی ادارے کا سربراہ یا ایجنسیوں کے اہلکاروں کو اس کے ساتھ جاتےہوۓ دیکھا ہیں تو یہ ہمارا والا کیوں دوسرے ہجڑے کو ساتھ لے کر افغانستان گیا
کیس نے خوب لکھا ہیں کے منافقین دو قسم کے ہوتے ہیں ایک غیر مسلم ہوتے ہیں ایک مسلمان سب سے زیادہ خطرناک منافقین مسلمان ہوتے پی ٹی ایم کے ختم کرنے کا خواب تو منافقین کا پورا نہیں ہوگا ناکام تو فوج ہے جو پورا دنیا اس پر پابندی لگاتے اور پاکستان کے تمام پارٹی فوج پر الزام لگتا ہیں
کرونا فوج کے جنرل پر اثر نہیں کرتے یہ زہریلے  مقصد کرونا سیاستدانوں اور غریب عوام کو مار سکتا ہے  پہلے لوگوں کو مختلف طریقے سے اغوا کرکے پھر شہید کردیتے تھے ابھی ان کے بہانہ کرونا ہے کرونا کے ذریعے لوگوں کو شہید کرتے نمبر ڈرت
مولانا خادم حسین رضوی کی اچانک وفات پر بہت دکھ ہواانہوں نے اپنے ہزاروں مداحین کو سوگوارکر دیامولانا خادم حسین رضوی ایک سچے عاشق رسول تھے ناموس رسالت صلی اللہ علیہ وآل وسلم کے لئے ان کی خدمات ناقابل فراموش ہیںاللہ تعالی مرحوم کے درجات بلند کرے نبی کریم کی شفاعت نصیب کرےآمین
زرداری صاحب نے تو پیپلز پارٹی کو ایک وفاقی جماعت سے سندھ اور لاڑکانہ تک محدود کر دیا جبکہ مریم نواز انتھک محنت سے ن لیگ کو گوالمنڈی کی جماعت بنا رہی ہیں ن لیگ کی اکثریت خود مریم کے بیانیے سے بیزار ہے لیکن پارٹی میں جمہوریت نہ ہونے کی وجہ سے کوئی سر اٹھا کر بات نہیں کر سکتا
نام ہونٹوں پہ ترا آئے تو راحت سی ملےتو تسلی ہے  دلاسہ ہے  دعا ہے  کیا ہے
اس لڑکی کی بات سنیے
شکریہ چیف صاحب
فواد چوہدری کے سابقہ باس پرویز مشرف نے بھی اکبر بگتی کو اسی طرح کی دھمکی دی تھی اور اس وقت بھی اعجاز شاہ وزیر داخلہ تھاجسٹس وقار سیٹھ اور خادم رضوی کی مشکوک حالات میں اموات کی تحقیقات ہونی چاہئیں تاکہ ان اموات کی اصل وجوہات سامنے آ سکیں
اب میں دی نیشن کوجھوٹی سٹوری پہ کچھ کانسیپٹ کلئیر کر دوں تحریک ہے نا کوئی پارٹی ہے نہ آرگنائزیشن ہے نہ اس کا سٹرکچرہے نہ اس کانسٹیٹیوشن ہے نہ رولز ہیں جن کی خلاف ورزی ہو سکے نہ کسی کے پاس کسی اور کو کرنے کی اتھاریٹی ہے ایسی بیہودہ خبر چلانے سے پہلے سوچ لیا کریں
ماسک پہننا بزدلی نہیں بلکہ بہادری ہے ماسک نہ پہننا اپنی مرضی نہیں بلکہ اپنوں اور دوسروں کی صحت کا سوال ہے باہر نکلیں یا اجتماع میں جائیں تو ماسک ضرور پہنیں اور محفوظ رہیں احتیاط علاج سے بہتر ہے
نادیہ مرزا  اہم اعلان گلگت بلتستان میں پی ٹی آئی سیٹس کیساتھ حکومت بنانے کیلیے تیار تمام چھ آزاد امیدواروں کے علاوہ جے یو آئی ایف کے سابقہ اپوزیشن لیڈر حاجی شاہ بیگ بھی پی ٹی آئی میں شامل وزیر اعلی کا نام بھی فائنل
باجوہ صاحب سے کہیں اب خود ہی سنبھال لیں ٹی ایل پی کی قیادت  کوئی پردہ داری تو ہے نہیں
نئی اطلاع کیمطابق پرانی اطلاع درست تھی
ام فاروق  حافظ سعید کو فنڈنگ کیس میں ساڑھے دس سال سزا دے دی گئعمران خان کو فارن فنڈنگ کیس میں کب اور کتنی سزا دی جائے گی تکا تو لگاؤ مسلمانو
نیچاں دی اشنائی کولوں فیض کسے نہ پایاککر تے انگور چڑھایا ہر گچھا زخمایامیاں محمد بخش
